Project Name,Description,Country,Country Code,Standard Version,Project Developer,Scale,Type,Crediting Period,Status,Methodology,Annual Estimated Credits,GS ID,POA GS ID,Document URL
Improved and Efficient Cookstoves distribution in Uttarakhand,"For this project activity, the Center for Business and Entrepreneurial Development (CBED) is the project sponsor. Improved cookstoves will be distributed as part of the initiative in India's rural communities. 20,000 improved cookstoves will be given distributed to rural Uttarakhand villages as part of this project activity.
Indoor air pollution is a result of utilizing firewood to fuel traditional cookstoves. The situation has gotten worse due to a number of causes, including the growing population of humans and livestock as well as the indiscriminate and illegal exploitation of natural resources. In order to lessen the consequences of climate change, the state must maintain a sufficient amount of forest cover. The initiative aims to enhance people's lives by lowering indoor air pollution and reducing the usage of fuel wood. 
As stated by the Ministry of Environment and Forests (MoEF), the execution of this program of activities will support the sustainable development of the area. ",India,IN,Gold Standard for the Global Goals,Infinite Environmental Solutions Limited,Small Scale,Energy Efficiency - Domestic,2024-06-15 - 2029-06-14,LISTED,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,75000,N/A,N/A,https://platform.sustain-cert.com/public-project/4056
Esperanza Wind Plant,"The Esperanza Wind Plant project involves the establishment of a green-field renewable energy facility currently being developed by EGE-Haina. Situated in the municipality of Esperanza, Valverde province, this project is designed to contribute eco-friendly electricity to be fed into the national grid, also known as SENI . With a total installed capacity of 50 MW, it is anticipated to produce around 156.4 GWh annually through the utilization of wind turbines.",Dominican Republic,DO,Gold Standard for the Global Goals,ENERION RENEWABLES S.R.L. SEMPLIFICATA,Large Scale,Wind,2026-07-02 - 2031-01-01,LISTED,ACM0002 Grid-connected electricity generation from renewable sources,87900,N/A,N/A,https://platform.sustain-cert.com/public-project/4195
GS12953 VPA 1 Pungue Project,"Mozambique is classified as a Least Developed Country by the United Nations, and only half of Mozambicans have access to improved water supply in rural areas. Handpumps, which are commonly found in communities, often fall into disrepair shortly after installation due to insufficient maintenance, lack of access to spare parts, and financial support. The Pungue project, developed by Removall, aims to rehabilitate and sustain over 5,000 handpumps across multiple provinces of Mozambique. It will avoid the consumption of firewood by households and lead to a reduction of carbon dioxide emissions.",Mozambique,MZ,Gold Standard for the Global Goals,Removall,Small Scale,Energy Efficiency - Domestic,2024-09-03 - 2029-09-02,LISTED,GS Methodology for emission reductions from safe drinking water supply,60000,12953,4625,https://platform.sustain-cert.com/public-project/4201
Distributed Generation Solar in Belize Central America,"The proposed project aims at distributing solar PV rooftop electricity installations. These installations allow for affordable & reliable electricity and will replace no grid connection, or traditional grid connection that is powered by imported electricity and old power plants fueled with fossil fuels in Belize.
On the contrary to some Asian countries, Laos, or in Africa, where electricity connectivity has reached a 100% level, in Belize there is still very little connectivity to renewable electricity. This project surely helps to achieve this ambition.
",Belize,BZ,Gold Standard for the Global Goals,Renewable Energy Developers SA,Small Scale,PV,2024-09-01 - 2029-08-31,LISTED,ACM0002 Grid-connected electricity generation from renewable sources,0,N/A,N/A,https://platform.sustain-cert.com/public-project/3914
Houma City Domestic Waste Landfill Biogas Comprehensive Utilization to Power Project,"Houma City Domestic Waste Landfill Biogas Comprehensive Utilization to Power Project (Hereafter referred as the proposed project activity) aims to recover and destroy landfill gas (LFG) generated at the municipal solid waste (MSW) landfill site in Houma city, Linfen city, Shanxi province, P. R. China. It is developed by Henan BCCY Environmental Energy Co., Ltd. The collected LFG will be used for electricity production.

Houma city landfill site is a sanitary landfill site, which started operation in 2008 with a total design effective capacity of 2,700,000 m3 and an operational lifespan of 23 years. Now it received municipal solid waste of 340 tons/d. The proposed project activity has a total designed capacity 1.5MW (3*500kW) and combusts the LFG, which contains nearly 50% of methane, to generate electricity and export it to the North China Power Grid (NCPG). The proposed project activity started construction in 22/07/2024 and will start operation on 17/10/2024. The crediting period has been started on 17/10/2024 and will end in 16/10/2029.

The proposed project activity collects and utilizes LFG from Houma city landfill site for power generation, which would otherwise be released into the atmosphere. Methane in the LFG has been emitted to the atmosphere since the landfill started operation. Therefore, the proposed project activity avoids methane emissions and, at the same time, electricity is generated from a renewable energy source, instead of being provided by the grid.
",China,CN,Gold Standard for the Global Goals,"Henan BCCY Environmental Energy Co., Ltd.",Small Scale,Biogas - Electricity,2024-10-17 - 2029-10-16,LISTED,AMS-III.G. Landfill methane recovery,44374,N/A,N/A,https://platform.sustain-cert.com/public-project/4208
PoA Pungue Project,"Mozambique is classified as a Least Developed Country by the United Nations, and only half of Mozambicans have access to improved water supply in rural areas. Handpumps, which are commonly found in communities, often fall into disrepair shortly after installation due to insufficient maintenance, lack of access to spare parts, and financial support. The Pungue project, developed by Removall, aims to rehabilitate and sustain over 5,000 handpumps across multiple provinces of Mozambique. It will avoid the consumption of firewood by households and lead to a reduction of carbon dioxide emissions.",Mozambique,MZ,Gold Standard for the Global Goals,Removall,Small Scale,Energy Efficiency - Domestic,2024-09-03 - 2029-09-02,LISTED,GS Methodology for emission reductions from safe drinking water supply,60000,N/A,N/A,https://platform.sustain-cert.com/public-project/4200
Karatau Wind Power Project,"The Karatau Wind Power Project is a greenfield Independent Power Project that is located in the Karatau mountain region of the Karauzak District in the Republic of Karakalpakstan, Republic of Uzbekistan. The Project is Uzbekistan’s first publicly tendered wind project and is considered as 'first-of-its kind' of the country. The Project will consist of the construction and operation of a capacity 100 MW wind farm to provide renewable energy to the National Electricity Grid of Uzbekistan (NEGU). ",Uzbekistan,UZ,Gold Standard for the Global Goals,Monsoon Carbon Pte Ltd,Large Scale,Wind,2025-07-05 - 2030-07-04,LISTED,ACM0002 Grid-connected electricity generation from renewable sources,167400,N/A,N/A,https://platform.sustain-cert.com/public-project/4216
Distribution of energy efficient cookstove in India 5,"The project activity aims to replace the commonly used inefficient wood fired mud stove technology, with energy efficient cook stove, which is clean and sustainable. The project activity involves distribution of energy efficient cookstove to the rural population in India. The project will distribute ICS will be undertaken for households. It is intended that under this project high thermal efficient cook stoves will be distributed. The ICS distributed will burn wood more efficiently thereby improving thermal transfer to pots, hence saving fuel wood. This project will also halt the rapidly progressing deforestation in India but will also reduce health hazards from indoor smoke pollution and women and children will have to spend less time collecting firewood. The target population is the rural population of India, those uses three stone fires cook stove and cannot afford these stoves, project participant has to heavily subsidize it or give it off free of cost. The end user will be informed in advance that the use of ICS generates carbon finance which in turn is used to cover the price of ICS and for recovering project implementation costs.",India,IN,Gold Standard for the Global Goals,GRENEITY INFOCOM SERVICE PRIVATE LIMITED,Small Scale,Energy Efficiency - Domestic,2023-08-01 - 2028-07-31,LISTED,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,40000,N/A,N/A,https://platform.sustain-cert.com/public-project/4097
DISTRIBUTION OF ENERGY EFFICIENT COOKSTOVE IN INDIA 6,"The project activity aims to replace the commonly used inefficient wood fired mud stove technology, with energy efficient cook stove, which is clean and sustainable. The project activity involves distribution of energy efficient cookstove to the rural population in India. The project will distribute ICS will be undertaken for households. It is intended that under this project high thermal efficient cook stoves will be distributed. The ICS distributed will burn wood more efficiently thereby improving thermal transfer to pots, hence saving fuel wood. This project will also halt the rapidly progressing deforestation in India but will also reduce health hazards from indoor smoke pollution and women and children will have to spend less time collecting firewood. The target population is the rural population of India, those uses three stone fires cook stove and cannot afford these stoves, project participant has to heavily subsidize it or give it off free of cost. The end user will be informed in advance that the use of ICS generates carbon finance which in turn is used to cover the price of ICS and for recovering project implementation costs.",India,IN,Gold Standard for the Global Goals,GRENEITY INFOCOM SERVICE PRIVATE LIMITED,Small Scale,Energy Efficiency - Domestic,2023-08-01 - 2028-07-31,LISTED,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,40000,N/A,N/A,https://platform.sustain-cert.com/public-project/4099
Changing Lives via Improved Cooking Kenya 2,"The project aims to positively impact the livelihoods of its beneficiaries, by disseminating improved cooking devices in Kenya. The project ICSs' will replace traditional / inefficient biomass stoves in the baseline. The prevalent use of traditional / inefficient cooking technologies in Kenya results in significant GHG emissions from use of non-renewable biomass (NRB) sourced unsustainably. Furthermore, traditional solid biomass-based cooking releases significant amounts of smoke and particulate matter (PM), exposing the primary cooks to hazardous levels of indoor air pollution (IAP). The project ICSs are designed to be thermally more efficient than baseline stoves, thereby reducing fuel consumption, cooking time, smoke, and PM emissions. Thus, the project reduces GHG emission while simultaneously creating a cleaner cooking environment for women and reducing IAP exposure to women and children. The project, initially registered as a CDM CPA under the CDM PoA 5341, with reference ID 5341-P1-0009-CP1, is now transitioning to Gold Standard as a small-scale project.",Kenya,KE,Gold Standard for the Global Goals,"Envirofit International, Ltd.",Small Scale,Energy Efficiency - Domestic,2019-03-22 - 2024-03-22,LISTED,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,60000,N/A,N/A,https://platform.sustain-cert.com/public-project/4109
Changing Lives via Improved Cooking Nigeria 1,"The project aims to positively impact the livelihoods of its beneficiaries, by disseminating improved cooking devices in Nigeria. The project ICSs' will replace traditional / inefficient biomass stoves in the baseline. The prevalent use of traditional / inefficient cooking technologies in Nigeria results in significant GHG emissions from use of non-renewable biomass (NRB) sourced unsustainably. Furthermore, traditional solid biomass-based cooking releases significant amounts of smoke and particulate matter (PM), exposing the primary cooks to hazardous levels of indoor air pollution (IAP). The project ICSs are designed to be thermally more efficient than baseline stoves, thereby reducing fuel consumption, cooking time, smoke, and PM emissions. Thus, the project reduces GHG emission while simultaneously creating a cleaner cooking environment for women and reducing IAP exposure to women and children. The project, initially registered as a CDM CPA under the CDM PoA 5342, with reference ID 5342-P1-0007-CP1, is now transitioning to Gold Standard as a small-scale project.",Nigeria,NG,Gold Standard for the Global Goals,"Envirofit International, Ltd.",Small Scale,Energy Efficiency - Domestic,2019-04-05 - 2024-04-05,LISTED,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,60000,N/A,N/A,https://platform.sustain-cert.com/public-project/4114
Changing Lives via Improved Cooking Kenya 3,"The project aims to positively impact the livelihoods of its beneficiaries, by disseminating improved cooking devices in Kenya. The project ICSs' will replace traditional / inefficient biomass stoves in the baseline. The prevalent use of traditional / inefficient cooking technologies in Kenya results in significant GHG emissions from use of non-renewable biomass (NRB) sourced unsustainably. Furthermore, traditional solid biomass-based cooking releases significant amounts of smoke and particulate matter (PM), exposing the primary cooks to hazardous levels of indoor air pollution (IAP). The project ICSs are designed to be thermally more efficient than baseline stoves, thereby reducing fuel consumption, cooking time, smoke, and PM emissions. Thus, the project reduces GHG emission while simultaneously creating a cleaner cooking environment for women and reducing IAP exposure to women and children. The project, initially registered as a CDM CPA under the CDM PoA 5341, with reference ID 5341-P1-0010-CP1, is now transitioning to Gold Standard as a small-scale project.",Kenya,KE,Gold Standard for the Global Goals,"Envirofit International, Ltd.",Small Scale,Energy Efficiency - Domestic,2019-03-22 - 2024-03-22,LISTED,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,60000,N/A,N/A,https://platform.sustain-cert.com/public-project/4110
Changing Lives via Improved Cooking Ghana 1,"The project aims to positively impact the livelihoods of its beneficiaries, by disseminating improved cooking devices in Ghana. The project ICSs' will replace traditional / inefficient biomass stoves in the baseline. The prevalent use of traditional / inefficient cooking technologies in Ghana results in significant GHG emissions from use of non-renewable biomass (NRB) sourced unsustainably. Furthermore, traditional solid biomass-based cooking releases significant amounts of smoke and particulate matter (PM), exposing the primary cooks to hazardous levels of indoor air pollution (IAP). The project ICSs are designed to be thermally more efficient than baseline stoves, thereby reducing fuel consumption, cooking time, smoke, and PM emissions. Thus, the project reduces GHG emission while simultaneously creating a cleaner cooking environment for women and reducing IAP exposure to women and children. The project, initially registered as a CDM CPA under the CDM PoA 5342, with reference ID 5342-P1-0013-CP1, is now transitioning to Gold Standard as a small-scale project.",Ghana,GH,Gold Standard for the Global Goals,"Envirofit International, Ltd.",Small Scale,Energy Efficiency - Domestic,2019-04-12 - 2024-04-12,LISTED,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,60000,N/A,N/A,https://platform.sustain-cert.com/public-project/4111
Changing Lives via Improved Cooking Kenya 1,"The project aims to positively impact the livelihoods of its beneficiaries, by disseminating improved cooking devices in Kenya. The project ICSs' will replace traditional / inefficient biomass stoves in the baseline. The prevalent use of traditional / inefficient cooking technologies in Kenya results in significant GHG emissions from use of non-renewable biomass (NRB) sourced unsustainably. Furthermore, traditional solid biomass-based cooking releases significant amounts of smoke and particulate matter (PM), exposing the primary cooks to hazardous levels of indoor air pollution (IAP). 

The project ICSs are designed to be thermally more efficient than baseline stoves, thereby reducing fuel consumption, cooking time, smoke, and PM emissions. Thus, the project reduces GHG emission while simultaneously creating a cleaner cooking environment for women and reducing IAP exposure to women and children.

The project, initially registered as a CDM CPA under the CDM PoA 5341, with reference ID 5341-P1-0008-CP1, is now transitioning to Gold Standard as a small-scale project.",Kenya,KE,Gold Standard for the Global Goals,"Envirofit International, Ltd.",Small Scale,Energy Efficiency - Domestic,2019-03-22 - 2024-03-22,LISTED,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,60000,N/A,N/A,https://platform.sustain-cert.com/public-project/4108
Changing Lives via Improved Cooking Nigeria 3,"The project aims to positively impact the livelihoods of its beneficiaries, by disseminating improved cooking devices in Nigeria. The project ICSs' will replace traditional / inefficient biomass stoves in the baseline. The prevalent use of traditional / inefficient cooking technologies in Nigeria results in significant GHG emissions from use of non-renewable biomass (NRB) sourced unsustainably. Furthermore, traditional solid biomass-based cooking releases significant amounts of smoke and particulate matter (PM), exposing the primary cooks to hazardous levels of indoor air pollution (IAP). The project ICSs are designed to be thermally more efficient than baseline stoves, thereby reducing fuel consumption, cooking time, smoke, and PM emissions. Thus, the project reduces GHG emission while simultaneously creating a cleaner cooking environment for women and reducing IAP exposure to women and children. The project, initially registered as a CDM CPA under the CDM PoA 5342, with reference ID 5342-P1-0009-CP1, is now transitioning to Gold Standard as a small-scale project.",Nigeria,NG,Gold Standard for the Global Goals,"Envirofit International, Ltd.",Small Scale,Energy Efficiency - Domestic,2019-04-05 - 2024-04-05,LISTED,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,60000,N/A,N/A,https://platform.sustain-cert.com/public-project/4116
Changing Lives via Improved Cooking Ghana 3,"The project aims to positively impact the livelihoods of its beneficiaries, by disseminating improved cooking devices in Ghana. The project ICSs' will replace traditional / inefficient biomass stoves in the baseline. The prevalent use of traditional / inefficient cooking technologies in Ghana results in significant GHG emissions from use of non-renewable biomass (NRB) sourced unsustainably. Furthermore, traditional solid biomass-based cooking releases significant amounts of smoke and particulate matter (PM), exposing the primary cooks to hazardous levels of indoor air pollution (IAP). The project ICSs are designed to be thermally more efficient than baseline stoves, thereby reducing fuel consumption, cooking time, smoke, and PM emissions. Thus, the project reduces GHG emission while simultaneously creating a cleaner cooking environment for women and reducing IAP exposure to women and children. The project, initially registered as a CDM CPA under the CDM PoA 5342, with reference ID 5342-P1-0015-CP1, is now transitioning to Gold Standard as a small-scale project.",Ghana,GH,Gold Standard for the Global Goals,"Envirofit International, Ltd.",Small Scale,Energy Efficiency - Domestic,2019-04-12 - 2024-04-12,LISTED,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,60000,N/A,N/A,https://platform.sustain-cert.com/public-project/4113
Changing Lives via Improved Cooking Nigeria 2,"The project aims to positively impact the livelihoods of its beneficiaries, by disseminating improved cooking devices in Nigeria. The project ICSs' will replace traditional / inefficient biomass stoves in the baseline. The prevalent use of traditional / inefficient cooking technologies in Nigeria results in significant GHG emissions from use of non-renewable biomass (NRB) sourced unsustainably. Furthermore, traditional solid biomass-based cooking releases significant amounts of smoke and particulate matter (PM), exposing the primary cooks to hazardous levels of indoor air pollution (IAP). The project ICSs are designed to be thermally more efficient than baseline stoves, thereby reducing fuel consumption, cooking time, smoke, and PM emissions. Thus, the project reduces GHG emission while simultaneously creating a cleaner cooking environment for women and reducing IAP exposure to women and children. The project, initially registered as a CDM CPA under the CDM PoA 5342, with reference ID 5342-P1-0008-CP1, is now transitioning to Gold Standard as a small-scale project.",Nigeria,NG,Gold Standard for the Global Goals,"Envirofit International, Ltd.",Small Scale,Energy Efficiency - Domestic,2019-04-05 - 2024-04-05,LISTED,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,60000,N/A,N/A,https://platform.sustain-cert.com/public-project/4115
